title,titleUrl,time,year,weekday,hour,date,author,type
Mcfly et Carlito jugent le rap français feat. Kaaris,https://www.youtube.com/watch?v=ezBnVjmsTP8,2021-09-27 10:23:00.004000+00:00,2021,0,10,2021-09-27,Mcfly et Carlito,Entertainment
How To Make Animated Videos? - PROCESS #1,https://www.youtube.com/watch?v=aDtvpQILMoE,2021-09-27 10:11:32.185000+00:00,2021,0,10,2021-09-27,Kevin Tran 陈科伟,Comedy
"Chavon Rodgers Sings Olivia Rodrigo's Hit ""Driver's License"" | The Voice Blind Auditions 2021",https://www.youtube.com/watch?v=_taeFJD-wB8,2021-09-27 10:03:42.721000+00:00,2021,0,10,2021-09-27,The Voice,People & Blogs
"Paw Patrol: La Pat’ Patrouille | héros, aider tous ceux qui sont dans le besoin | Nick Jr.",https://www.youtube.com/watch?v=-DvrJYKZetE,2021-09-27 09:13:21.448000+00:00,2021,0,9,2021-09-27,Nick Jr.,Film & Animation
ON FAIT DU VENTRIGLISSE DANS LES RUES DE TOULOUSE ( c'est nimp ),https://www.youtube.com/watch?v=P9bUd6tAruM,2021-09-27 08:28:22.247000+00:00,2021,0,8,2021-09-27,Léna Situations,People & Blogs
On délocalise le bureau..⎢VLOG,https://www.youtube.com/watch?v=RB0gXWLVNi8,2021-09-27 07:40:44.477000+00:00,2021,0,7,2021-09-27,Sam et Léa,Travel & Events
"BON, DISCUTONS UN PEU (sans langue de bois)",https://www.youtube.com/watch?v=9sy3L2_5JRg,2021-09-26 23:33:49.676000+00:00,2021,6,23,2021-09-26,gaelle garcia diaz,Entertainment
Beautiful Things - KJ Apa ft. Clara Berry,https://www.youtube.com/watch?v=aTFqKmiMmVk,2021-09-26 23:29:26.966000+00:00,2021,6,23,2021-09-26,Behind The Scenes Dealer,People & Blogs
Première pièce de la maison terminée : Les toilettes ! (oui j'en avais besoin à ce point 😅),https://www.youtube.com/watch?v=101d7LdcCmA,2021-09-24 13:06:44.389000+00:00,2021,4,13,2021-09-24,So Andy,Howto & Style
J'ai dessiné tous les jours pendant 1 an !,https://www.youtube.com/watch?v=bciVyM1jxXo,2021-09-24 11:16:53.785000+00:00,2021,4,11,2021-09-24,BALO,Entertainment
Vous avez consulté https://gorillas.io/fr/gorillas-app-yt?utm_source=google&utm_medium=youtube&utm_campaign=UK_ALL_YouTube_Reach_GEN_ALL_07092021&utm_keyword=VID_FRFR_0000_0059L06s_V02_TL001_HL010_LP00_06092021&wbraid={wbraid},https://www.google.com/url?q=https://gorillas.io/fr/gorillas-app-yt%3Futm_source%3Dgoogle%26utm_medium%3Dyoutube%26utm_campaign%3DUK_ALL_YouTube_Reach_GEN_ALL_07092021%26utm_keyword%3DVID_FRFR_0000_0059L06s_V02_TL001_HL010_LP00_06092021%26wbraid%3D%7Bwbraid%7D&usg=AOvVaw0P4Dka26jsReCn4KOZxjUz,2021-09-24 11:16:37.495000+00:00,2021,4,11,2021-09-24,,
LISA - 'MONEY' EXCLUSIVE PERFORMANCE VIDEO,https://www.youtube.com/watch?v=dNCWe_6HAM8,2021-09-24 11:10:37.142000+00:00,2021,4,11,2021-09-24,BLACKPINK,Music
"Determining if a Hypothesis Test is Left Tailed, Right Tailed, or Two Tailed",https://www.youtube.com/watch?v=an2DlTAqFno,2021-09-23 21:55:23.078000+00:00,2021,3,21,2021-09-23,Mathispower4u,Education
25 Min Full Body Workout | You CAN do it and it's fun! | 2 Weeks Shred,https://www.youtube.com/watch?v=szRPTqEiIWE,2021-09-23 17:55:24.050000+00:00,2021,3,17,2021-09-23,Chloe Ting,Howto & Style
HOW I GREW MY BOOTY| all home workout| 10분 힙업운동,https://www.youtube.com/watch?v=kLfnuwthgBA,2021-09-23 17:52:26.511000+00:00,2021,3,17,2021-09-23,Dadacafe다다카페,Sports
Jennie Peaches Dance Practice (Justin Bieber - Peaches),https://www.youtube.com/watch?v=2Je5Pzi_Df0,2021-09-23 17:51:10.654000+00:00,2021,3,17,2021-09-23,VIU 212,Entertainment
Première pièce de la maison terminée : Les toilettes ! (oui j'en avais besoin à ce point 😅),https://www.youtube.com/watch?v=101d7LdcCmA,2021-09-23 17:32:49.751000+00:00,2021,3,17,2021-09-23,So Andy,Howto & Style
Qui sera la meilleure famille ? (Grands-parents VS petits enfants),https://www.youtube.com/watch?v=-bxCWpw9P60,2021-09-23 17:32:38.064000+00:00,2021,3,17,2021-09-23,Pierre Croce,Comedy
15€ offerts sur votre première commande. Téléchargez l'app Getir !,https://www.youtube.com/watch?v=RpLTNYuV_ng,2021-09-23 17:31:37.527000+00:00,2021,3,17,2021-09-23,Getir,Entertainment
Je vous dévoile la MAISON (avant travaux !) - Horia,https://www.youtube.com/watch?v=EGgdCmQNFyU,2021-09-23 15:28:08.336000+00:00,2021,3,15,2021-09-23,Horia,Howto & Style
JE FAIS VISITER MA VILLE À MAYADORABLE,https://www.youtube.com/watch?v=kwbIBDtfQFk,2021-09-22 11:40:35.156000+00:00,2021,2,11,2021-09-22,style tonic,Howto & Style
Boohoo try on Haul!,https://www.youtube.com/watch?v=zTxrwbPw1fs,2021-09-21 23:39:03.835000+00:00,2021,1,23,2021-09-21,Tessa Brooks,People & Blogs
LISA(리사) - LALISA @인기가요 inkigayo 20210919,https://www.youtube.com/watch?v=ri_7WhlpSjE,2021-09-21 23:35:57.728000+00:00,2021,1,23,2021-09-21,스브스케이팝 / SBS KPOP,Entertainment
MA GLAM ROUTINE (hair&makeup),https://www.youtube.com/watch?v=7eM57X-y3IY,2021-09-21 23:23:22.543000+00:00,2021,1,23,2021-09-21,AnnaRvr,Howto & Style
l'histoire folle de ce trafiquant que personne ne connaît,https://www.youtube.com/watch?v=qsUQFvyLDOw,2021-09-20 07:13:08.126000+00:00,2021,0,7,2021-09-20,SQUEEZIE,Entertainment
How to see YouTube Viewing History,https://www.youtube.com/watch?v=CKwMeqYia3U,2021-09-20 07:02:18.554000+00:00,2021,0,7,2021-09-20,Internet Services and Social Networks Tutorials from HowTech,Howto & Style
"Je deviens proprio, 1ers RDV et 1ers CHOIX !  - Horia",https://www.youtube.com/watch?v=imo7ZPviSEM,2021-09-19 10:19:08.494000+00:00,2021,6,10,2021-09-19,Horia,Howto & Style
HOW I GREW MY BOOTY| all home workout| 10분 힙업운동,https://www.youtube.com/watch?v=kLfnuwthgBA,2021-09-19 10:03:54.934000+00:00,2021,6,10,2021-09-19,Dadacafe다다카페,Sports
THE PERFECT SOFT BEAT FACE TUTORIAL *BEGINNER FRIENDLY!*,https://www.youtube.com/watch?v=wFX2g674aOk,2021-09-18 15:28:39.319000+00:00,2021,5,15,2021-09-18,Ashley Quiroz,Howto & Style
J'AI ACHETÉ MON PREMIER APPARTEMENT !! #zozodéménage,https://www.youtube.com/watch?v=IBl6hMWP4L4,2021-09-18 11:51:11.517000+00:00,2021,5,11,2021-09-18,Juste Zoé,Entertainment
"Doja Cat Performs ""Been Like This"" & ""You Right"" | 2021 VMAs | MTV",https://www.youtube.com/watch?v=FIvS374wMuw,2021-09-17 22:08:55.842000+00:00,2021,4,22,2021-09-17,MTV,Entertainment
LISA: LALISA (TV Debut) | The Tonight Show Starring Jimmy Fallon,https://www.youtube.com/watch?v=rZYxzen9uEA,2021-09-17 20:11:56.831000+00:00,2021,4,20,2021-09-17,The Tonight Show Starring Jimmy Fallon,People & Blogs
Episode 2: CHAMBRE + SALLE DE BAIN (House Tour),https://www.youtube.com/watch?v=KusJfFxTSBg,2021-09-17 19:41:55.920000+00:00,2021,4,19,2021-09-17,ROMY,Howto & Style
MES SOSIES ! - SEB,https://www.youtube.com/watch?v=T7H9KpteiCs,2021-09-17 19:27:19.637000+00:00,2021,4,19,2021-09-17,SEB,Entertainment
Fortnite Chapitre 2 - Saison 8 | Présentation du Passe de combat,https://www.youtube.com/watch?v=-hnmid_xFvY,2021-09-17 19:18:40.637000+00:00,2021,4,19,2021-09-17,Fortnite,Gaming
Episode 2: CHAMBRE + SALLE DE BAIN (House Tour),https://www.youtube.com/watch?v=KusJfFxTSBg,2021-09-15 20:51:48.859000+00:00,2021,2,20,2021-09-15,ROMY,Howto & Style
APARTMENT TOUR 2 (passion travaux) (Norman & Martha),https://www.youtube.com/watch?v=9Iy08NHw_FQ,2021-09-15 20:42:43.636000+00:00,2021,2,20,2021-09-15,NORMAN FAIT DES VIDÉOS,Comedy
"Le RDM, VIVI, Les OFF - FAQ NO LIMIT",https://www.youtube.com/watch?v=nSPzYYavZ6Q,2021-09-15 20:21:28.299000+00:00,2021,2,20,2021-09-15,Bastos,People & Blogs
